image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
dog_00,apa_weak,46.9,130.7,0.2251,0.7314,0.0883,20.1855,0.9559,4.4738,0.6113,0.318,0.2675,0.2627,0.0047,0.0695,0.073,-0.0035
dog_00,mist,0.0,84.8,0.6008,0.7963,0.167,26.8168,0.9419,3.8329,0.6872,0.7061,0.2675,0.2481,0.0194,0.0695,0.0926,-0.0231
dog_00,dia_r,0.0,149.4,0.2383,0.985,0.0317,39.6223,0.9941,4.5856,0.6891,0.4362,0.2675,0.2529,0.0146,0.0695,0.0813,-0.0118
dog_01,apa_weak,46.9,130.4,0.1826,0.7706,0.1052,19.5516,0.9747,5.288,0.5279,0.1419,0.2742,0.2703,0.0039,0.0908,0.0932,-0.0025
dog_01,mist,0.0,84.9,0.6098,0.7729,0.1403,26.7704,0.8595,4.1286,0.6352,0.7862,0.2742,0.2866,-0.0124,0.0908,0.0924,-0.0017
dog_01,dia_r,0.0,149.3,0.2574,0.9844,0.0229,40.5997,0.9785,5.6838,0.6346,0.2553,0.2742,0.2731,0.0011,0.0908,0.0855,0.0052
horse_00,apa_weak,46.8,129.8,0.2293,0.7328,0.162,16.8428,0.9401,5.146,0.5547,0.3569,0.306,0.3141,-0.0081,0.119,0.1223,-0.0033
horse_00,mist,0.0,84.7,0.6085,0.7178,0.2064,26.7311,0.8335,4.796,0.6951,0.6802,0.306,0.3008,0.0052,0.119,0.1084,0.0106
horse_00,dia_r,0.0,149.2,0.2776,0.979,0.0479,40.1483,0.9381,5.7708,0.6893,0.2491,0.306,0.3103,-0.0043,0.119,0.1107,0.0083
horse_01,apa_weak,46.7,129.5,0.3205,0.4559,0.2883,15.0301,0.9251,4.3395,0.6419,0.4017,0.323,0.327,-0.004,0.1175,0.1196,-0.0021
horse_01,mist,0.0,84.8,0.4871,0.8614,0.1475,26.314,0.9181,4.5044,0.705,0.6723,0.323,0.3054,0.0175,0.1175,0.1161,0.0014
horse_01,dia_r,0.0,149.2,0.1091,0.9897,0.0269,39.0597,0.9676,4.8216,0.6896,0.235,0.323,0.3283,-0.0053,0.1175,0.1183,-0.0008
man_00,apa_weak,46.9,130.0,0.1256,0.9176,0.0851,20.6714,0.9791,4.5151,0.5485,0.3096,0.2819,0.3046,-0.0227,0.1079,0.1264,-0.0185
man_00,mist,0.0,84.8,0.6552,0.6978,0.1887,26.616,0.9057,4.2833,0.6616,0.6295,0.2819,0.2315,0.0504,0.1079,0.0749,0.0331
man_00,dia_r,0.0,149.4,0.3345,0.9772,0.0586,40.7755,0.9853,4.4915,0.6755,0.3643,0.2819,0.2977,-0.0158,0.1079,0.1086,-0.0007
man_01,apa_weak,46.8,129.7,0.2376,0.6144,0.1463,16.7828,0.9383,4.438,0.6099,0.2136,0.2814,0.2792,0.0022,0.1091,0.1088,0.0004
man_01,mist,0.0,84.9,0.5007,0.8825,0.1287,26.5302,0.9101,4.5534,0.6385,0.6196,0.2814,0.2625,0.0189,0.1091,0.1105,-0.0013
man_01,dia_r,0.0,149.4,0.1026,0.9926,0.0198,39.4918,0.9794,5.0101,0.6505,0.1855,0.2814,0.2754,0.006,0.1091,0.108,0.0011
woman_00,apa_weak,46.8,129.9,0.209,0.7659,0.0978,21.5347,0.9547,4.5227,0.4344,0.1492,0.237,0.2342,0.0028,0.0488,0.0604,-0.0116
woman_00,mist,0.0,84.8,0.5806,0.7817,0.1395,26.8085,0.8986,4.2322,0.5554,0.6867,0.237,0.2357,0.0013,0.0488,0.064,-0.0151
woman_00,dia_r,0.0,149.9,0.2578,0.9815,0.0455,39.4086,0.9909,4.8474,0.5036,0.3336,0.237,0.2411,-0.0042,0.0488,0.0432,0.0057
woman_01,apa_weak,46.8,129.9,0.1263,0.9435,0.0587,23.7421,0.9763,3.634,0.3217,0.1654,0.208,0.2088,-0.0008,0.0388,0.0558,-0.0169
woman_01,mist,0.0,85.0,0.6868,0.7412,0.1813,26.4873,0.8756,4.1182,0.4534,0.6442,0.208,0.2271,-0.0191,0.0388,0.0519,-0.0131
woman_01,dia_r,0.0,149.5,0.4218,0.9791,0.0526,39.8769,0.9739,3.7616,0.3495,0.4626,0.208,0.2105,-0.0024,0.0388,0.0421,-0.0033
