image,condition,src,analysis_block,analysis_hop,rms,phase_share,energy_mag,energy_phase,block_gini,top10_block_share,hf_share,peak_ratio_8,peak_ratio_32
task_attr_mod_color_136767,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.053808,0.2892,2002.5315,814.5862,0.5104,0.3445,0.6198,1.193,1.399
task_attr_mod_color_184837,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.085201,0.3399,4867.6274,2506.9385,0.4207,0.2222,0.5428,1.305,1.65
task_attr_mod_color_32648,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.028011,0.1309,619.9679,93.3977,0.4753,0.4525,0.8417,1.388,1.239
task_attr_mod_color_6205,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.045151,0.267,1445.7234,526.6593,0.5004,0.3893,0.6845,1.054,1.368
task_env_weather_112463,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.0426,0.2014,1409.0829,355.3954,0.3813,0.2814,0.6376,1.052,0.754
task_env_weather_246440,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.095998,0.4216,5720.0166,4169.5684,0.4718,0.279,0.5678,1.066,1.437
task_env_weather_63722,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.064037,0.3112,2834.9861,1280.9236,0.6123,0.4346,0.5494,1.008,1.417
task_obj_add_40931,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.059606,0.2891,2505.9802,1019.0186,0.3306,0.2451,0.5368,0.997,1.173
task_obj_remove_380621,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.053174,0.4022,1704.3921,1146.6057,0.6166,0.5306,0.7468,1.605,1.586
task_obj_swap_joint_mask_276754,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.068535,0.3541,2930.3401,1606.5083,0.4211,0.3209,0.8177,1.548,1.737
task_obj_swap_joint_mask_533428,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.071042,0.3076,3583.9805,1592.0839,0.4625,0.2978,0.5445,0.909,0.561
task_obj_swap_rand_mask_417469,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.059459,0.3302,2383.7986,1175.0637,0.5185,0.3782,0.6932,1.31,2.135
